application_id,applicant_country,destination_country,application_type,visa_category,submission_date,decision_date,season,priority_processing,biometrics_completed,countries_visited,schengen_visits,us_visits,uk_visits,overstay_history,previous_rejections,applicant_age,gender,employment_status,marital_status,document_completeness,supporting_docs_provided,interview_required,financial_docs_provided,sponsorship_letter,processing_office,application_status,rejection_reason
APP000027,DRC,Canada,Online,Tourist,09-08-2023,23-09-2023,Summer,No,Yes,27,9,1,1,No,1,59,M,Unemployed,Married,Yes,Yes,No,Yes,No,Office F - Consulate,Approved,
APP000028,Jordan,Germany,Online,Business,09-11-2024,24-11-2024,Fall,Yes,Yes,49,10,5,4,No,0,50,F,Retired,Single,Yes,Yes,No,Yes,No,Office B - Regional,Approved,
APP000029,Mexico,Czech Republic,Online,Tourist,17-03-2023,12-04-2023,Spring,No,No,0,0,0,0,No,0,62,F,Student,Widowed,Yes,No,No,Yes,No,Office A - Metro,Approved,
APP000030,Ecuador,France,Online,Tourist,03-06-2024,13-07-2024,Summer,No,Yes,16,3,0,0,No,3,63,F,Self-Employed,Married,Yes,Yes,Yes,Yes,No,Office E - Border,Rejected,Previous Visa Rejections
APP000031,Ivory Coast,UK,In-Person,Student,23-08-2023,24-10-2023,Summer,No,Yes,18,6,3,2,Yes,1,29,M,Student,Single,Yes,Yes,Yes,Yes,Yes,Office D - Capital,Rejected,Previous Visa Overstay
APP000032,China,Spain,In-Person,Transit,08-08-2023,11-08-2023,Summer,No,Yes,4,0,0,0,No,0,44,M,Employed,Married,Yes,Yes,No,Yes,Yes,Office B - Regional,Approved,
APP000033,Morocco,Germany,Online,Business,29-12-2024,03-02-2025,Winter,No,Yes,16,6,1,2,No,1,53,F,Self-Employed,Widowed,Yes,No,Yes,Yes,Yes,Office F - Consulate,Approved,
APP000034,Qatar,Spain,Online,Tourist,11-09-2024,11-10-2024,Fall,No,Yes,10,2,0,0,No,0,76,F,Employed,Married,Yes,Yes,No,Yes,No,Office E - Border,Approved,
APP000035,Bosnia,Spain,Online,Student,05-09-2023,05-11-2023,Fall,No,Yes,9,3,1,1,No,0,63,M,Unemployed,Married,Yes,Yes,Yes,Yes,Yes,Office E - Border,Approved,
APP000036,Turkey,UK,Online,Work,07-10-2023,30-12-2023,Fall,No,Yes,7,6,1,3,No,0,23,M,Employed,Married,Yes,Yes,Yes,Yes,No,Office E - Border,Approved,
APP000037,India,Qatar,Online,Student,10-04-2023,15-05-2023,Spring,No,Yes,9,4,0,0,No,2,62,F,Unemployed,Married,Yes,Yes,No,Yes,Yes,Office F - Consulate,Rejected,Previous Visa Rejections
APP000038,Myanmar,USA,In-Person,Tourist,24-10-2023,09-12-2023,Fall,No,Yes,4,1,0,1,No,0,23,F,Employed,Married,Yes,Yes,Yes,No,No,Office C - Small Town,Rejected,Insufficient Financial Proof
APP000039,Russia,Denmark,Online,Tourist,02-11-2023,07-12-2023,Fall,No,Yes,5,1,2,2,No,1,73,F,Unemployed,Single,Yes,Yes,Yes,No,No,Office D - Capital,Rejected,Insufficient Financial Proof
APP000040,Thailand,Netherlands,Online,Student,11-02-2024,24-03-2024,Winter,No,Yes,6,1,2,1,No,1,43,M,Employed,Single,Yes,No,Yes,No,Yes,Office A - Metro,Rejected,Insufficient Financial Proof
APP000041,Dominican Republic,Canada,Online,Student,14-06-2023,27-07-2023,Summer,No,Yes,31,3,0,3,No,0,71,M,Employed,Single,Yes,Yes,Yes,Yes,Yes,Office A - Metro,Approved,
APP000042,South Africa,Lithuania,In-Person,Family,25-03-2023,23-03-2024,Spring,No,Yes,5,0,1,0,No,0,61,M,Employed,Widowed,Yes,No,No,Yes,No,Office B - Regional,Rejected,Insufficient Supporting Documents
APP000043,Turkey,France,Online,Student,30-01-2024,21-03-2024,Winter,No,Yes,43,9,1,3,No,0,67,M,Employed,Widowed,Yes,Yes,Yes,Yes,Yes,Office E - Border,Approved,
APP000044,Bangladesh,Japan,Online,Student,07-01-2023,15-02-2023,Winter,No,No,33,9,0,4,No,0,39,F,Employed,Divorced,Yes,Yes,No,No,Yes,Office E - Border,Approved,
APP000045,Turkey,New Zealand,In-Person,Transit,30-09-2024,05-10-2024,Fall,No,Yes,18,5,2,1,No,0,47,F,Employed,Single,Yes,No,No,Yes,No,Office C - Small Town,Approved,
APP000046,South Africa,Germany,In-Person,Family,04-09-2023,11-05-2024,Fall,Yes,Yes,15,5,0,2,No,0,24,F,Employed,Single,Yes,Yes,Yes,Yes,Yes,Office D - Capital,Approved,
APP000047,India,Sweden,Online,Tourist,20-07-2023,19-09-2023,Summer,No,Yes,2,1,1,0,No,0,39,M,Retired,Married,No,Yes,No,Yes,Yes,Office B - Regional,Approved,
APP000048,Nepal,Spain,Online,Family,15-07-2023,19-09-2024,Summer,No,Yes,0,0,0,0,No,4,63,F,Employed,Widowed,Yes,No,Yes,Yes,Yes,Office C - Small Town,Rejected,Previous Visa Rejections
APP000049,Ghana,UK,Online,Tourist,09-10-2024,14-11-2024,Fall,No,Yes,11,2,1,1,No,1,40,F,Employed,Married,Yes,Yes,Yes,Yes,Yes,Office E - Border,Approved,
APP000050,Russia,Spain,Online,Tourist,13-10-2023,16-11-2023,Fall,No,Yes,49,7,0,3,No,0,24,F,Employed,Married,Yes,Yes,No,Yes,Yes,Office F - Consulate,Approved,
APP000051,Mexico,Canada,Online,Student,04-06-2023,09-07-2023,Summer,Yes,Yes,15,8,4,0,Yes,0,53,M,Employed,Single,Yes,No,Yes,Yes,Yes,Office C - Small Town,Rejected,Previous Visa Overstay
APP000052,Colombia,Luxembourg,Mail,Family,21-04-2023,20-04-2024,Spring,No,Yes,42,5,0,3,No,5,59,F,Employed,Married,Yes,No,Yes,Yes,Yes,Office D - Capital,Rejected,Previous Visa Rejections
APP000053,India,Romania,Online,Student,22-08-2023,13-11-2023,Summer,No,Yes,17,3,0,4,No,0,47,M,Student,Married,No,Yes,Yes,Yes,No,Office F - Consulate,Rejected,Incomplete Documentation
APP000054,South Africa,Canada,Online,Work,05-05-2023,31-07-2023,Spring,No,Yes,10,8,0,1,No,2,23,M,Employed,Married,Yes,No,Yes,Yes,No,Office B - Regional,Rejected,Insufficient Supporting Documents
APP000055,Mexico,Netherlands,Online,Student,08-08-2024,29-09-2024,Summer,No,Yes,17,6,1,1,No,0,41,F,Employed,Divorced,Yes,Yes,Yes,No,Yes,Office B - Regional,Approved,
APP000056,Bosnia,UK,Online,Tourist,17-12-2024,24-01-2025,Winter,No,Yes,28,5,3,2,No,0,36,M,Self-Employed,Single,No,Yes,No,Yes,No,Office E - Border,Rejected,Incomplete Documentation
APP000057,Syria,France,Online,Work,06-01-2023,01-04-2023,Winter,No,Yes,3,1,0,0,No,0,59,F,Employed,Single,Yes,Yes,Yes,Yes,No,Office A - Metro,Approved,
APP000058,Russia,Croatia,Online,Transit,20-05-2023,25-05-2023,Spring,No,Yes,7,4,0,0,No,0,54,M,Employed,Single,Yes,No,No,Yes,No,Office E - Border,Approved,
APP000059,Brazil,Greece,Online,Tourist,30-10-2023,04-12-2023,Fall,No,Yes,13,7,0,2,No,2,60,M,Retired,Widowed,Yes,Yes,Yes,Yes,No,Office D - Capital,Approved,
APP000060,Peru,Austria,In-Person,Tourist,25-08-2023,17-10-2023,Summer,No,Yes,21,2,3,2,No,2,20,M,Employed,Married,Yes,Yes,Yes,Yes,No,Office D - Capital,Approved,
APP000061,Turkey,Spain,Online,Business,08-06-2024,10-07-2024,Summer,No,Yes,11,3,2,0,No,1,57,F,Retired,Married,Yes,No,Yes,No,No,Office D - Capital,Approved,
APP000062,Thailand,Italy,In-Person,Business,17-04-2024,28-05-2024,Spring,No,Yes,10,1,1,2,No,3,29,F,Student,Single,Yes,Yes,Yes,Yes,Yes,Office B - Regional,Approved,
APP000063,Turkey,USA,In-Person,Business,14-11-2023,25-12-2023,Fall,No,Yes,5,0,2,0,No,3,26,M,Self-Employed,Single,Yes,Yes,Yes,Yes,No,Office A - Metro,Rejected,Previous Visa Rejections
APP000064,Cameroon,Saudi Arabia,Online,Student,12-09-2023,23-11-2023,Fall,No,Yes,11,5,1,2,No,0,79,M,Student,Married,Yes,Yes,Yes,Yes,Yes,Office D - Capital,Approved,
APP000065,Nepal,Greece,Online,Student,05-06-2023,17-07-2023,Summer,No,Yes,27,9,1,3,No,0,62,M,Employed,Single,Yes,No,Yes,Yes,Yes,Office F - Consulate,Approved,
APP000066,Malaysia,UK,Online,Tourist,30-09-2023,25-10-2023,Fall,No,Yes,27,8,1,1,No,0,47,M,Employed,Married,Yes,Yes,No,Yes,No,Office B - Regional,Approved,
APP000067,India,Switzerland,Online,Work,09-04-2023,09-07-2023,Spring,No,Yes,34,4,2,7,No,0,63,F,Self-Employed,Single,Yes,Yes,Yes,Yes,No,Office A - Metro,Approved,
APP000068,Morocco,France,Online,Tourist,07-07-2023,09-09-2023,Summer,No,Yes,16,6,3,2,No,2,40,F,Student,Married,Yes,Yes,Yes,Yes,No,Office E - Border,Approved,
APP000069,Japan,Belgium,Online,Business,27-10-2023,22-11-2023,Fall,No,Yes,3,2,0,1,No,0,72,M,Retired,Married,Yes,Yes,No,Yes,No,Office C - Small Town,Approved,
APP000070,Lebanon,Hungary,Online,Tourist,29-09-2023,28-10-2023,Fall,No,Yes,7,6,1,1,No,0,35,M,Employed,Married,Yes,Yes,Yes,Yes,No,Office A - Metro,Approved,
APP000071,Lebanon,Italy,In-Person,Business,22-11-2023,26-12-2023,Fall,No,Yes,11,2,2,0,No,0,63,F,Student,Married,Yes,Yes,No,Yes,Yes,Office F - Consulate,Approved,
APP000072,Pakistan,UK,In-Person,Business,20-05-2024,10-07-2024,Spring,No,Yes,35,6,0,1,No,0,48,F,Self-Employed,Single,Yes,No,Yes,Yes,No,Office A - Metro,Rejected,Insufficient Supporting Documents
APP000073,Argentina,Italy,Online,Student,03-03-2023,26-04-2023,Spring,No,Yes,2,1,0,1,No,0,43,F,Self-Employed,Single,Yes,Yes,Yes,Yes,Yes,Office D - Capital,Approved,
APP000074,China,Spain,Online,Work,29-12-2024,20-03-2025,Winter,No,Yes,8,8,1,1,No,0,51,F,Employed,Widowed,Yes,Yes,Yes,Yes,No,Office B - Regional,Approved,
APP000075,Ivory Coast,Japan,Online,Student,25-01-2023,10-03-2023,Winter,No,No,4,2,0,1,No,3,22,F,Student,Divorced,Yes,Yes,Yes,Yes,Yes,Office D - Capital,Rejected,Previous Visa Rejections
APP000076,UAE,Cyprus,In-Person,Tourist,24-09-2023,23-10-2023,Fall,No,Yes,0,0,0,0,No,0,51,M,Employed,Married,Yes,Yes,No,Yes,No,Office F - Consulate,Approved,
APP000077,Armenia,Italy,Online,Student,02-12-2024,14-01-2025,Winter,No,Yes,0,0,0,0,No,0,64,F,Retired,Single,Yes,Yes,Yes,Yes,Yes,Office A - Metro,Approved,
APP000078,China,UK,Online,Tourist,23-01-2024,21-02-2024,Winter,No,No,14,1,2,2,No,1,26,M,Student,Single,Yes,Yes,No,Yes,No,Office C - Small Town,Approved,
APP000079,Venezuela,Spain,Online,Tourist,23-07-2023,29-08-2023,Summer,No,Yes,6,3,0,2,No,0,59,F,Employed,Married,Yes,No,No,Yes,No,Office C - Small Town,Approved,
APP000080,Morocco,Hungary,Online,Tourist,14-12-2023,07-01-2024,Winter,No,Yes,43,6,4,2,No,0,29,M,Employed,Widowed,Yes,Yes,No,Yes,Yes,Office F - Consulate,Approved,
APP000081,Mexico,Spain,In-Person,Tourist,27-02-2023,09-04-2023,Winter,No,Yes,17,3,6,3,No,2,73,M,Employed,Married,Yes,Yes,Yes,Yes,Yes,Office F - Consulate,Approved,
APP000082,Saudi Arabia,Malta,Online,Business,22-01-2024,06-03-2024,Winter,No,Yes,0,0,0,0,No,1,79,M,Employed,Single,No,Yes,Yes,Yes,No,Office B - Regional,Rejected,Incomplete Documentation
APP000083,China,Czech Republic,Online,Tourist,18-12-2024,27-01-2025,Winter,No,Yes,29,7,1,1,No,2,44,F,Employed,Married,No,No,Yes,No,No,Office D - Capital,Rejected,Incomplete Documentation
APP000084,Indonesia,Netherlands,Online,Business,27-11-2023,01-01-2024,Fall,No,Yes,14,8,0,0,Yes,0,51,M,Employed,Married,Yes,Yes,No,Yes,No,Office F - Consulate,Rejected,Previous Visa Overstay
APP000085,Kenya,Germany,Online,Student,25-11-2024,20-01-2025,Fall,No,Yes,7,2,1,0,No,0,19,F,Student,Married,Yes,Yes,No,Yes,Yes,Office A - Metro,Approved,
APP000086,Sri Lanka,Spain,Online,Work,28-11-2023,02-04-2024,Fall,No,Yes,8,7,1,0,No,0,63,M,Unemployed,Widowed,No,Yes,Yes,Yes,No,Office D - Capital,Rejected,Incomplete Documentation
APP000087,Azerbaijan,Cyprus,In-Person,Tourist,08-06-2023,04-08-2023,Summer,No,Yes,0,0,0,0,No,0,47,M,Employed,Married,Yes,Yes,Yes,Yes,No,Office C - Small Town,Approved,
APP000088,Algeria,Czech Republic,Online,Student,20-11-2023,14-01-2024,Fall,No,Yes,5,1,0,0,No,2,31,F,Employed,Single,Yes,Yes,Yes,Yes,No,Office C - Small Town,Rejected,Missing Sponsorship Letter
APP000089,Azerbaijan,UK,Online,Tourist,12-01-2024,26-02-2024,Winter,No,Yes,28,6,1,3,No,2,37,F,Employed,Single,No,Yes,Yes,No,No,Office E - Border,Rejected,Incomplete Documentation
APP000090,Russia,Italy,Online,Student,14-04-2023,03-06-2023,Spring,No,Yes,0,0,0,0,No,2,56,F,Student,Single,Yes,Yes,Yes,Yes,Yes,Office C - Small Town,Rejected,Previous Visa Rejections
APP000091,Morocco,Canada,In-Person,Tourist,19-05-2024,15-06-2024,Spring,No,Yes,38,4,1,1,No,1,49,M,Self-Employed,Single,Yes,Yes,No,No,No,Office F - Consulate,Approved,
APP000092,Nigeria,Germany,Online,Student,05-11-2024,01-01-2025,Fall,No,Yes,5,0,1,1,No,1,26,M,Self-Employed,Single,Yes,Yes,Yes,Yes,No,Office E - Border,Rejected,Missing Sponsorship Letter
APP000093,Mexico,Italy,Online,Work,17-10-2024,19-02-2025,Fall,No,Yes,19,3,3,3,No,0,50,F,Self-Employed,Divorced,No,Yes,Yes,Yes,No,Office C - Small Town,Rejected,Incomplete Documentation
APP000094,Nigeria,Austria,In-Person,Tourist,08-08-2024,10-09-2024,Summer,Yes,Yes,16,6,2,6,No,0,75,F,Student,Single,Yes,Yes,No,Yes,No,Office F - Consulate,Approved,
APP000095,Argentina,France,Online,Business,04-04-2023,01-05-2023,Spring,No,Yes,0,0,0,0,No,0,53,F,Unemployed,Single,Yes,Yes,No,Yes,No,Office B - Regional,Approved,
APP000096,China,Germany,Online,Tourist,29-11-2024,07-01-2025,Fall,No,Yes,15,3,0,1,No,0,29,M,Student,Married,Yes,Yes,Yes,Yes,No,Office C - Small Town,Approved,
APP000097,Kazakhstan,Croatia,In-Person,Tourist,09-03-2024,21-04-2024,Spring,No,Yes,17,6,2,0,No,1,48,M,Student,Married,Yes,Yes,Yes,Yes,No,Office C - Small Town,Rejected,Previous Visa Rejections
APP000098,China,Netherlands,Online,Work,13-05-2024,19-07-2024,Spring,No,Yes,4,0,0,0,No,0,78,F,Retired,Divorced,Yes,Yes,Yes,Yes,No,Office B - Regional,Approved,
APP000099,Mexico,USA,In-Person,Tourist,18-02-2023,31-03-2023,Winter,No,Yes,0,0,0,0,No,0,46,F,Employed,Divorced,Yes,Yes,Yes,No,Yes,Office D - Capital,Approved,
APP000100,Nepal,UK,In-Person,Work,17-08-2024,27-10-2024,Summer,No,Yes,2,2,1,2,No,1,29,F,Employed,Single,Yes,Yes,Yes,Yes,No,Office B - Regional,Approved,
APP000101,Palestine,Czech Republic,In-Person,Student,31-01-2024,06-04-2024,Winter,No,Yes,1,1,2,1,No,0,25,F,Employed,Married,Yes,Yes,Yes,Yes,Yes,Office D - Capital,Approved,
APP000102,Morocco,Malta,In-Person,Student,25-02-2024,21-04-2024,Winter,No,Yes,7,4,1,2,Yes,0,18,F,Self-Employed,Single,Yes,Yes,Yes,Yes,Yes,Office E - Border,Rejected,Previous Visa Overstay
APP000103,Brazil,South Korea,In-Person,Tourist,06-03-2023,16-04-2023,Spring,No,Yes,9,8,2,0,No,0,57,F,Student,Married,No,Yes,No,Yes,No,Office B - Regional,Rejected,Incomplete Documentation
APP000104,Pakistan,Netherlands,Online,Work,31-03-2024,03-07-2024,Spring,No,Yes,5,0,0,0,No,1,18,F,Employed,Single,Yes,Yes,Yes,No,No,Office A - Metro,Rejected,Insufficient Financial Proof
APP000105,Iran,Switzerland,Mail,Work,02-10-2024,18-01-2025,Fall,No,Yes,2,0,0,2,No,2,25,M,Unemployed,Divorced,No,No,Yes,Yes,No,Office A - Metro,Rejected,Incomplete Documentation
APP000106,Angola,Switzerland,Online,Business,28-07-2023,29-09-2023,Summer,No,Yes,42,4,3,4,No,3,31,F,Student,Married,No,Yes,Yes,Yes,Yes,Office F - Consulate,Rejected,Incomplete Documentation
APP000107,Russia,Estonia,Online,Student,29-10-2024,13-12-2024,Fall,No,Yes,36,4,0,0,No,0,31,M,Employed,Married,Yes,Yes,No,Yes,No,Office A - Metro,Rejected,Missing Sponsorship Letter
APP000108,Ecuador,Austria,In-Person,Tourist,07-05-2023,19-06-2023,Spring,No,No,9,2,0,1,No,1,39,M,Student,Single,Yes,Yes,Yes,Yes,No,Office F - Consulate,Approved,
APP000109,Kuwait,Spain,In-Person,Business,14-04-2023,23-05-2023,Spring,No,Yes,11,2,2,2,No,0,57,F,Student,Married,No,Yes,No,Yes,No,Office D - Capital,Rejected,Incomplete Documentation
APP000110,DRC,Canada,Online,Tourist,01-05-2023,28-05-2023,Spring,No,Yes,0,0,0,0,No,0,79,F,Employed,Divorced,Yes,No,No,Yes,Yes,Office A - Metro,Approved,
APP000111,Morocco,South Korea,In-Person,Tourist,28-07-2024,12-10-2024,Summer,No,Yes,7,4,0,2,No,2,23,F,Retired,Married,No,Yes,Yes,Yes,No,Office F - Consulate,Rejected,Incomplete Documentation
APP000112,Syria,Canada,In-Person,Tourist,27-05-2023,06-07-2023,Spring,No,Yes,0,0,0,0,No,1,31,M,Retired,Single,Yes,Yes,Yes,No,No,Office B - Regional,Rejected,Insufficient Financial Proof
APP000113,Morocco,Qatar,Online,Business,30-08-2024,28-09-2024,Summer,No,Yes,19,7,2,6,No,0,63,F,Employed,Single,Yes,No,Yes,Yes,No,Office E - Border,Approved,
APP000114,Turkey,Italy,Online,Student,03-05-2024,09-06-2024,Spring,No,Yes,7,6,2,2,No,0,62,F,Employed,Married,Yes,Yes,No,Yes,No,Office E - Border,Approved,
APP000115,Myanmar,USA,In-Person,Business,14-09-2023,14-10-2023,Fall,No,No,12,8,0,3,Yes,0,58,F,Employed,Single,Yes,Yes,Yes,Yes,Yes,Office A - Metro,Rejected,Previous Visa Overstay
APP000116,Tanzania,Hungary,Mail,Work,26-10-2023,26-12-2023,Fall,Yes,Yes,18,5,3,1,No,0,57,F,Employed,Married,Yes,Yes,Yes,No,No,Office C - Small Town,Approved,
APP000117,China,Bulgaria,In-Person,Business,05-04-2024,01-05-2024,Spring,No,Yes,5,0,0,1,No,0,66,F,Employed,Single,Yes,Yes,No,Yes,No,Office D - Capital,Rejected,Poor Travel History
APP000118,Morocco,Switzerland,Online,Business,08-01-2024,10-02-2024,Winter,Yes,Yes,25,3,7,2,No,2,65,M,Self-Employed,Married,No,Yes,Yes,No,No,Office F - Consulate,Rejected,Incomplete Documentation
APP000119,Mexico,Sweden,Online,Student,30-04-2024,26-06-2024,Spring,No,Yes,20,3,0,0,No,0,27,F,Employed,Married,Yes,Yes,Yes,Yes,Yes,Office B - Regional,Approved,
APP000120,China,USA,In-Person,Tourist,01-10-2024,29-11-2024,Fall,No,Yes,3,0,2,2,No,0,14,M,Employed,Married,Yes,Yes,Yes,Yes,No,Office B - Regional,Rejected,High Risk Route
APP000121,China,South Korea,In-Person,Student,10-10-2024,07-12-2024,Fall,No,Yes,1,0,0,2,No,0,24,F,Student,Married,Yes,Yes,Yes,Yes,No,Office B - Regional,Approved,
APP000122,Bangladesh,Spain,In-Person,Student,15-06-2024,29-07-2024,Summer,No,Yes,0,0,0,0,No,2,52,M,Self-Employed,Single,Yes,Yes,Yes,Yes,Yes,Office A - Metro,Approved,
APP000123,Zimbabwe,France,Online,Business,04-11-2024,30-11-2024,Fall,No,Yes,6,3,3,0,No,0,64,M,Employed,Married,Yes,Yes,No,Yes,No,Office C - Small Town,Approved,
APP000124,Kenya,Greece,In-Person,Tourist,18-12-2024,20-01-2025,Winter,No,No,36,9,3,3,No,2,57,F,Self-Employed,Single,Yes,No,Yes,Yes,No,Office E - Border,Approved,
APP000125,Colombia,Switzerland,In-Person,Family,14-11-2023,28-02-2025,Fall,No,No,18,2,3,0,No,0,12,M,Unemployed,Married,No,Yes,Yes,Yes,Yes,Office D - Capital,Rejected,Incomplete Documentation
APP000126,China,Latvia,Online,Transit,13-01-2023,17-01-2023,Winter,No,Yes,15,6,1,1,No,0,21,F,Employed,Married,Yes,Yes,No,Yes,Yes,Office C - Small Town,Approved,
APP000127,Kenya,Sweden,Mail,Work,08-04-2023,05-07-2023,Spring,No,Yes,14,4,1,1,No,0,55,M,Employed,Divorced,Yes,Yes,Yes,Yes,No,Office C - Small Town,Approved,
APP000128,Vietnam,Sweden,Online,Student,19-03-2024,24-04-2024,Spring,No,Yes,0,0,0,0,No,0,22,M,Self-Employed,Married,Yes,Yes,No,Yes,Yes,Office F - Consulate,Approved,
APP000129,Turkey,Italy,Online,Tourist,08-10-2024,24-11-2024,Fall,No,Yes,46,8,1,0,No,0,31,F,Employed,Divorced,No,No,No,Yes,No,Office C - Small Town,Rejected,Incomplete Documentation
APP000130,Indonesia,UK,Online,Work,31-01-2024,04-05-2024,Winter,No,Yes,2,2,2,2,No,1,64,F,Employed,Married,No,Yes,Yes,No,No,Office F - Consulate,Rejected,Incomplete Documentation
APP000131,Venezuela,Canada,Online,Student,22-10-2023,02-02-2024,Fall,No,Yes,16,2,2,6,No,0,30,M,Self-Employed,Married,No,Yes,Yes,Yes,Yes,Office D - Capital,Approved,
